"start","end","downloads","package","total"
2018-01-01,2018-01-31,357,"autoplotly",357
2018-02-01,2018-02-28,196,"autoplotly",553
2018-03-01,2018-03-31,290,"autoplotly",843
2018-04-01,2018-04-30,987,"autoplotly",1830
2018-05-01,2018-05-31,365,"autoplotly",2195
2018-06-01,2018-06-30,273,"autoplotly",2468
2018-07-01,2018-07-08,60,"autoplotly",2528
2017-08-01,2017-08-31,180,"billboarder",180
2017-09-01,2017-09-30,224,"billboarder",404
2017-10-01,2017-10-31,1006,"billboarder",1410
2017-11-01,2017-11-30,226,"billboarder",1636
2017-12-01,2017-12-31,139,"billboarder",1775
2018-01-01,2018-01-31,534,"billboarder",2309
2018-02-01,2018-02-28,276,"billboarder",2585
2018-03-01,2018-03-31,241,"billboarder",2826
2018-04-01,2018-04-30,401,"billboarder",3227
2018-05-01,2018-05-31,955,"billboarder",4182
2018-06-01,2018-06-30,344,"billboarder",4526
2018-07-01,2018-07-08,85,"billboarder",4611
2017-12-01,2017-12-31,578,"BioCircos",578
2018-01-01,2018-01-31,197,"BioCircos",775
2018-02-01,2018-02-28,613,"BioCircos",1388
2018-03-01,2018-03-31,187,"BioCircos",1575
2018-04-01,2018-04-30,284,"BioCircos",1859
2018-05-01,2018-05-31,227,"BioCircos",2086
2018-06-01,2018-06-30,333,"BioCircos",2419
2018-07-01,2018-07-08,65,"BioCircos",2484
2012-10-01,2012-10-31,13,"BiplotGUI",13
2012-11-01,2012-11-30,71,"BiplotGUI",84
2012-12-01,2012-12-31,98,"BiplotGUI",182
2013-01-01,2013-01-31,153,"BiplotGUI",335
2013-02-01,2013-02-28,122,"BiplotGUI",457
2013-03-01,2013-03-31,194,"BiplotGUI",651
2013-04-01,2013-04-30,212,"BiplotGUI",863
2013-05-01,2013-05-31,182,"BiplotGUI",1045
2013-06-01,2013-06-30,218,"BiplotGUI",1263
2013-07-01,2013-07-31,201,"BiplotGUI",1464
2013-08-01,2013-08-31,206,"BiplotGUI",1670
2013-09-01,2013-09-30,245,"BiplotGUI",1915
2013-10-01,2013-10-31,213,"BiplotGUI",2128
2013-11-01,2013-11-30,218,"BiplotGUI",2346
2013-12-01,2013-12-31,200,"BiplotGUI",2546
2014-01-01,2014-01-31,263,"BiplotGUI",2809
2014-02-01,2014-02-28,232,"BiplotGUI",3041
2014-03-01,2014-03-31,322,"BiplotGUI",3363
2014-04-01,2014-04-30,292,"BiplotGUI",3655
2014-05-01,2014-05-31,278,"BiplotGUI",3933
2014-06-01,2014-06-30,264,"BiplotGUI",4197
2014-07-01,2014-07-31,262,"BiplotGUI",4459
2014-08-01,2014-08-31,448,"BiplotGUI",4907
2014-09-01,2014-09-30,339,"BiplotGUI",5246
2014-10-01,2014-10-31,385,"BiplotGUI",5631
2014-11-01,2014-11-30,412,"BiplotGUI",6043
2014-12-01,2014-12-31,332,"BiplotGUI",6375
2015-01-01,2015-01-31,459,"BiplotGUI",6834
2015-02-01,2015-02-28,360,"BiplotGUI",7194
2015-03-01,2015-03-31,457,"BiplotGUI",7651
2015-04-01,2015-04-30,526,"BiplotGUI",8177
2015-05-01,2015-05-31,437,"BiplotGUI",8614
2015-06-01,2015-06-30,366,"BiplotGUI",8980
2015-07-01,2015-07-31,323,"BiplotGUI",9303
2015-08-01,2015-08-31,375,"BiplotGUI",9678
2015-09-01,2015-09-30,369,"BiplotGUI",10047
2015-10-01,2015-10-31,411,"BiplotGUI",10458
2015-11-01,2015-11-30,494,"BiplotGUI",10952
2015-12-01,2015-12-31,367,"BiplotGUI",11319
2016-01-01,2016-01-31,371,"BiplotGUI",11690
2016-02-01,2016-02-29,344,"BiplotGUI",12034
2016-03-01,2016-03-31,298,"BiplotGUI",12332
2016-04-01,2016-04-30,265,"BiplotGUI",12597
2016-05-01,2016-05-31,287,"BiplotGUI",12884
2016-06-01,2016-06-30,191,"BiplotGUI",13075
2016-07-01,2016-07-31,258,"BiplotGUI",13333
2016-08-01,2016-08-31,129,"BiplotGUI",13462
2016-09-01,2016-09-30,192,"BiplotGUI",13654
2016-10-01,2016-10-31,327,"BiplotGUI",13981
2016-11-01,2016-11-30,241,"BiplotGUI",14222
2016-12-01,2016-12-31,201,"BiplotGUI",14423
2017-01-01,2017-01-31,293,"BiplotGUI",14716
2017-02-01,2017-02-28,237,"BiplotGUI",14953
2017-03-01,2017-03-31,246,"BiplotGUI",15199
2017-04-01,2017-04-30,313,"BiplotGUI",15512
2017-05-01,2017-05-31,295,"BiplotGUI",15807
2017-06-01,2017-06-30,254,"BiplotGUI",16061
2017-07-01,2017-07-31,276,"BiplotGUI",16337
2017-08-01,2017-08-31,240,"BiplotGUI",16577
2017-09-01,2017-09-30,240,"BiplotGUI",16817
2017-10-01,2017-10-31,293,"BiplotGUI",17110
2017-11-01,2017-11-30,233,"BiplotGUI",17343
2017-12-01,2017-12-31,163,"BiplotGUI",17506
2018-01-01,2018-01-31,248,"BiplotGUI",17754
2018-02-01,2018-02-28,285,"BiplotGUI",18039
2018-03-01,2018-03-31,224,"BiplotGUI",18263
2018-04-01,2018-04-30,374,"BiplotGUI",18637
2018-05-01,2018-05-31,313,"BiplotGUI",18950
2018-06-01,2018-06-30,386,"BiplotGUI",19336
2018-07-01,2018-07-08,91,"BiplotGUI",19427
2018-05-01,2018-05-31,257,"chromoMap",257
2018-06-01,2018-06-30,143,"chromoMap",400
2018-07-01,2018-07-08,41,"chromoMap",441
2012-10-01,2012-10-31,5,"clusterfly",5
2012-11-01,2012-11-30,2,"clusterfly",7
2012-12-01,2012-12-31,15,"clusterfly",22
2013-02-01,2013-02-28,3,"clusterfly",25
2013-03-01,2013-03-31,1,"clusterfly",26
2013-04-01,2013-04-30,4,"clusterfly",30
2013-05-01,2013-05-31,9,"clusterfly",39
2013-06-01,2013-06-30,1,"clusterfly",40
2013-07-01,2013-07-31,2,"clusterfly",42
2013-08-01,2013-08-31,2,"clusterfly",44
2013-09-01,2013-09-30,37,"clusterfly",81
2013-10-01,2013-10-31,9,"clusterfly",90
2013-11-01,2013-11-30,4,"clusterfly",94
2013-12-01,2013-12-31,12,"clusterfly",106
2014-01-01,2014-01-31,15,"clusterfly",121
2014-02-01,2014-02-28,16,"clusterfly",137
2014-03-01,2014-03-31,38,"clusterfly",175
2014-04-01,2014-04-30,61,"clusterfly",236
2014-05-01,2014-05-31,192,"clusterfly",428
2014-06-01,2014-06-30,195,"clusterfly",623
2014-07-01,2014-07-31,230,"clusterfly",853
2014-08-01,2014-08-31,365,"clusterfly",1218
2014-09-01,2014-09-30,290,"clusterfly",1508
2014-10-01,2014-10-31,313,"clusterfly",1821
2014-11-01,2014-11-30,378,"clusterfly",2199
2014-12-01,2014-12-31,288,"clusterfly",2487
2015-01-01,2015-01-31,416,"clusterfly",2903
2015-02-01,2015-02-28,346,"clusterfly",3249
2015-03-01,2015-03-31,422,"clusterfly",3671
2015-04-01,2015-04-30,467,"clusterfly",4138
2015-05-01,2015-05-31,453,"clusterfly",4591
2015-06-01,2015-06-30,419,"clusterfly",5010
2015-07-01,2015-07-31,358,"clusterfly",5368
2015-08-01,2015-08-31,426,"clusterfly",5794
2015-09-01,2015-09-30,354,"clusterfly",6148
2015-10-01,2015-10-31,411,"clusterfly",6559
2015-11-01,2015-11-30,382,"clusterfly",6941
2015-12-01,2015-12-31,337,"clusterfly",7278
2016-01-01,2016-01-31,412,"clusterfly",7690
2016-02-01,2016-02-29,354,"clusterfly",8044
2016-03-01,2016-03-31,272,"clusterfly",8316
2016-04-01,2016-04-30,249,"clusterfly",8565
2016-05-01,2016-05-31,257,"clusterfly",8822
2016-06-01,2016-06-30,241,"clusterfly",9063
2016-07-01,2016-07-31,263,"clusterfly",9326
2016-08-01,2016-08-31,202,"clusterfly",9528
2016-09-01,2016-09-30,254,"clusterfly",9782
2016-10-01,2016-10-31,295,"clusterfly",10077
2016-11-01,2016-11-30,317,"clusterfly",10394
2016-12-01,2016-12-31,307,"clusterfly",10701
2017-01-01,2017-01-31,330,"clusterfly",11031
2017-02-01,2017-02-28,266,"clusterfly",11297
2017-03-01,2017-03-31,263,"clusterfly",11560
2017-04-01,2017-04-30,378,"clusterfly",11938
2017-05-01,2017-05-31,371,"clusterfly",12309
2017-06-01,2017-06-30,236,"clusterfly",12545
2017-07-01,2017-07-31,282,"clusterfly",12827
2017-08-01,2017-08-31,215,"clusterfly",13042
2017-09-01,2017-09-30,236,"clusterfly",13278
2017-10-01,2017-10-31,238,"clusterfly",13516
2017-11-01,2017-11-30,221,"clusterfly",13737
2017-12-01,2017-12-31,158,"clusterfly",13895
2018-01-01,2018-01-31,182,"clusterfly",14077
2018-02-01,2018-02-28,168,"clusterfly",14245
2018-03-01,2018-03-31,258,"clusterfly",14503
2018-04-01,2018-04-30,306,"clusterfly",14809
2018-05-01,2018-05-31,263,"clusterfly",15072
2018-06-01,2018-06-30,200,"clusterfly",15272
2018-07-01,2018-07-08,36,"clusterfly",15308
2017-03-01,2017-03-31,281,"collapsibleTree",281
2017-04-01,2017-04-30,502,"collapsibleTree",783
2017-05-01,2017-05-31,300,"collapsibleTree",1083
2017-06-01,2017-06-30,285,"collapsibleTree",1368
2017-07-01,2017-07-31,784,"collapsibleTree",2152
2017-08-01,2017-08-31,385,"collapsibleTree",2537
2017-09-01,2017-09-30,1076,"collapsibleTree",3613
2017-10-01,2017-10-31,425,"collapsibleTree",4038
2017-11-01,2017-11-30,343,"collapsibleTree",4381
2017-12-01,2017-12-31,258,"collapsibleTree",4639
2018-01-01,2018-01-31,364,"collapsibleTree",5003
2018-02-01,2018-02-28,313,"collapsibleTree",5316
2018-03-01,2018-03-31,541,"collapsibleTree",5857
2018-04-01,2018-04-30,625,"collapsibleTree",6482
2018-05-01,2018-05-31,520,"collapsibleTree",7002
2018-06-01,2018-06-30,493,"collapsibleTree",7495
2018-07-01,2018-07-08,87,"collapsibleTree",7582
2016-12-01,2016-12-31,657,"crosstalk",657
2017-01-01,2017-01-31,2036,"crosstalk",2693
2017-02-01,2017-02-28,7782,"crosstalk",10475
2017-03-01,2017-03-31,19428,"crosstalk",29903
2017-04-01,2017-04-30,27840,"crosstalk",57743
2017-05-01,2017-05-31,53257,"crosstalk",111000
2017-06-01,2017-06-30,44184,"crosstalk",155184
2017-07-01,2017-07-31,39572,"crosstalk",194756
2017-08-01,2017-08-31,43340,"crosstalk",238096
2017-09-01,2017-09-30,45531,"crosstalk",283627
2017-10-01,2017-10-31,54995,"crosstalk",338622
2017-11-01,2017-11-30,57135,"crosstalk",395757
2017-12-01,2017-12-31,41939,"crosstalk",437696
2018-01-01,2018-01-31,78709,"crosstalk",516405
2018-02-01,2018-02-28,83470,"crosstalk",599875
2018-03-01,2018-03-31,107249,"crosstalk",707124
2018-04-01,2018-04-30,113577,"crosstalk",820701
2018-05-01,2018-05-31,103433,"crosstalk",924134
2018-06-01,2018-06-30,95833,"crosstalk",1019967
2018-07-01,2018-07-08,20109,"crosstalk",1040076
2017-04-01,2017-04-30,311,"D3GB",311
2017-05-01,2017-05-31,166,"D3GB",477
2017-06-01,2017-06-30,161,"D3GB",638
2017-07-01,2017-07-31,145,"D3GB",783
2017-08-01,2017-08-31,141,"D3GB",924
2017-09-01,2017-09-30,185,"D3GB",1109
2017-10-01,2017-10-31,172,"D3GB",1281
2017-11-01,2017-11-30,141,"D3GB",1422
2017-12-01,2017-12-31,117,"D3GB",1539
2018-01-01,2018-01-31,151,"D3GB",1690
2018-02-01,2018-02-28,136,"D3GB",1826
2018-03-01,2018-03-31,122,"D3GB",1948
2018-04-01,2018-04-30,221,"D3GB",2169
2018-05-01,2018-05-31,176,"D3GB",2345
2018-06-01,2018-06-30,226,"D3GB",2571
2018-07-01,2018-07-08,32,"D3GB",2603
2015-06-01,2015-06-30,466,"d3heatmap",466
2015-07-01,2015-07-31,1102,"d3heatmap",1568
