date,count,package
2019-07-19,23997,ggplot2
2019-07-20,12421,ggplot2
2019-07-21,12377,ggplot2
2019-07-22,25243,ggplot2
2019-07-23,29220,ggplot2
2019-07-24,26962,ggplot2
2019-07-25,27336,ggplot2
2019-07-26,24481,ggplot2
2019-07-27,12891,ggplot2
2019-07-28,12741,ggplot2
2019-07-29,25327,ggplot2
2019-07-30,26901,ggplot2
2019-07-31,27130,ggplot2
2019-08-01,25366,ggplot2
2019-08-02,22690,ggplot2
2019-08-03,12069,ggplot2
2019-08-04,11686,ggplot2
2019-08-05,25623,ggplot2
2019-08-06,27992,ggplot2
2019-08-07,26586,ggplot2
2019-08-08,26194,ggplot2
2019-08-09,22061,ggplot2
2019-08-10,11743,ggplot2
2019-08-11,14718,ggplot2
2019-08-12,29697,ggplot2
2019-08-13,30201,ggplot2
2019-08-14,28992,ggplot2
2019-08-15,24520,ggplot2
2019-08-16,22943,ggplot2
2019-08-17,13326,ggplot2
2019-08-18,12838,ggplot2
2019-08-19,28192,ggplot2
2019-08-20,29415,ggplot2
2019-08-21,29177,ggplot2
2019-08-22,29221,ggplot2
2019-08-23,23477,ggplot2
2019-08-24,14473,ggplot2
2019-08-25,13280,ggplot2
2019-08-26,27804,ggplot2
2019-08-27,32871,ggplot2
2019-08-28,31730,ggplot2
2019-08-29,30069,ggplot2
2019-08-30,27377,ggplot2
2019-08-31,13531,ggplot2
2019-09-01,13103,ggplot2
2019-09-02,25096,ggplot2
2019-09-03,33153,ggplot2
2019-09-04,36386,ggplot2
2019-09-05,36379,ggplot2
2019-09-06,32544,ggplot2
2019-09-07,20167,ggplot2
2019-09-08,18635,ggplot2
2019-09-09,40180,ggplot2
2019-09-10,40430,ggplot2
2019-09-11,40541,ggplot2
2019-09-12,37807,ggplot2
2019-09-13,31932,ggplot2
2019-09-14,20228,ggplot2
2019-09-15,21339,ggplot2
2019-09-16,41397,ggplot2
2019-09-17,44993,ggplot2
2019-09-18,43846,ggplot2
2019-09-19,42844,ggplot2
2019-09-20,35623,ggplot2
2019-09-21,21872,ggplot2
2019-09-22,21815,ggplot2
2019-09-23,41411,ggplot2
2019-09-24,43710,ggplot2
2019-09-25,43067,ggplot2
2019-09-26,40469,ggplot2
2019-09-27,36776,ggplot2
2019-09-28,21055,ggplot2
2019-09-29,21450,ggplot2
2019-09-30,40492,ggplot2
2019-10-01,42182,ggplot2
2019-10-02,39292,ggplot2
2019-10-03,38139,ggplot2
2019-10-04,34742,ggplot2
2019-10-05,21580,ggplot2
2019-10-06,20301,ggplot2
2019-10-07,39840,ggplot2
2019-10-08,41505,ggplot2
2019-10-09,41291,ggplot2
2019-10-10,40191,ggplot2
2019-10-11,34916,ggplot2
2019-10-12,22149,ggplot2
2019-10-13,21523,ggplot2
2019-10-14,38852,ggplot2
2019-10-15,41294,ggplot2
2019-10-16,39713,ggplot2
2019-10-17,38513,ggplot2
2019-10-18,32965,ggplot2
2019-10-19,20829,ggplot2
2019-10-20,20256,ggplot2
2019-10-21,39235,ggplot2
2019-10-22,43015,ggplot2
2019-10-23,40284,ggplot2
2019-10-24,39548,ggplot2
2019-10-25,33127,ggplot2
2019-10-26,19435,ggplot2
2019-10-27,19891,ggplot2
2019-10-28,37834,ggplot2
2019-10-29,40898,ggplot2
2019-10-30,38987,ggplot2
2019-10-31,36279,ggplot2
2019-11-01,28541,ggplot2
2019-11-02,18041,ggplot2
2019-11-03,19122,ggplot2
2019-11-04,37548,ggplot2
2019-11-05,39987,ggplot2
2019-11-06,37668,ggplot2
